A200,A201
A200,A202
A201,A203
A202,A203
A202,A204
A202,A205
A203,A205
A204,A205
A204,A207
A205,A207
A206,A208
A207,A209
A207,A210
A208,A209
A208,A211
A209,A210
A210,A211
P100,P101
P100,P102
P100,P104
P101,P104
P102,P106
P102,P108
P103,P105
P104,P105
P104,P109
P105,P107
P105,P109
P106,P108
P106,P110
P107,P109
P108,P110
P109,P111
H010,H011
H010,H110
H011,H012
H011,H111
H011,H112
H012,H112
H012,H013
H013,H112
H013,H113
H110,H111
H110,H210
H110,H211
H111,H112
H111,H211
H111,H212
H112,H113
H112,H212
H112,H213
H113,H213
H210,H211
H211,H212
B401,B402
B401,B403
B401,B406
B402,B404
B402,B406
B403,B405
B404,B406
B405,B406
B405,B408
B405,B409
B406,B408
B407,B408
B407,B409
B407,B410
B407,B412
B408,B409
B408,B410
B409,B411
B410,B412
B411,B412
A201,H010
A201,H110
A200,H110
A202,H210
A204,H210
A204,B401
A204,B402
A206,P101
A206,P103
A208,P103
A208,P105
A211,P105
A211,P107
H212,P108,48,45,48,63.2,68.2,63.2
H113,B410
H113,B412
H213,B408
H213,B410
B411,P111,44.6,99,99,99,99,41.5
